ax,ay,az,gx,gy,gz,timestamp
-0.3974374830722809,9.730035781860352,0.24181437492370605,0.008522115647792816,-0.00532632227987051,0.01065264455974102,1.901189
-0.3998316824436188,9.694122314453125,0.21547815203666687,0.01065264455974102,-0.007456851191818714,0.011717909015715122,1.90619
-0.3878606855869293,9.6989107131958,0.22266076505184174,0.007456851191818714,-0.007456851191818714,0.01065264455974102,1.911191
-0.38307225704193115,9.744400978088379,0.2059013396501541,0.006391586735844612,-0.008522115647792816,0.009587380103766918,1.916192
-0.38067805767059326,9.765948295593262,0.15801730751991272,0.00532632227987051,-0.00532632227987051,0.007456851191818714,1.921194
-0.38067805767059326,9.734824180603027,0.16998831927776337,0.002130528911948204,-0.004261057823896408,0.006391586735844612,1.926209
-0.3711012601852417,9.737217903137207,0.17477671802043915,-0.001065264455974102,-0.004261057823896408,0.004261057823896408,1.931206
-0.3711012601852417,9.694122314453125,0.16998831927776337,-0.003195793367922306,-0.003195793367922306,0.0,1.936201
-0.38546648621559143,9.694122314453125,0.1364694982767105,-0.006391586735844612,-0.006391586735844612,-0.002130528911948204,1.941198
-0.37828385829925537,9.667786598205566,0.13168109953403473,-0.007456851191818714,-0.008522115647792816,-0.004261057823896408,1.946199
-0.38307225704193115,9.68694019317627,0.15801730751991272,-0.008522115647792816,-0.008522115647792816,-0.006391586735844612,1.9512
-0.4213795065879822,9.720458984375,0.1364694982767105,-0.012783173471689224,-0.009587380103766918,-0.009587380103766918,1.956201
-0.4357447028160095,9.715670585632324,0.14844051003456116,-0.014913702383637428,-0.009587380103766918,-0.012783173471689224,1.961204
-0.4405331015586853,9.732429504394531,0.17717093229293823,-0.019174760207533836,-0.009587380103766918,-0.013848437927663326,1.966208
-0.47644615173339844,9.744400978088379,0.17956513166427612,-0.02130528911948204,-0.009587380103766918,-0.013848437927663326,1.971204
-0.4884171485900879,9.708487510681152,0.19871874153614044,-0.024501081556081772,-0.009587380103766918,-0.012783173471689224,1.976212
-0.5027823448181152,9.720458984375,0.24420857429504395,-0.02556634694337845,-0.01065264455974102,-0.011717909015715122,1.981212
-0.49799394607543945,9.775525093078613,0.24899697303771973,-0.02876213937997818,-0.012783173471689224,-0.01065264455974102,1.986209
-0.49799394607543945,9.78989028930664,0.2322375625371933,-0.02556634694337845,-0.014913702383637428,-0.009587380103766918,1.991211
-0.4812345504760742,9.77791976928711,0.2322375625371933,-0.024501081556081772,-0.013848437927663326,-0.007456851191818714,1.99621
-0.4644751250743866,9.804255485534668,0.23702596127986908,-0.02556634694337845,-0.014913702383637428,-0.00532632227987051,2.001216
-0.42377370595932007,9.825803756713867,0.26096799969673157,-0.02556634694337845,-0.013848437927663326,-0.004261057823896408,2.006213
-0.4381389021873474,9.852140426635742,0.2777273952960968,-0.023435818031430244,-0.013848437927663326,-0.00532632227987051,2.011224
-0.43095630407333374,9.86650562286377,0.31603461503982544,-0.01810949482023716,-0.013848437927663326,-0.006391586735844612,2.016218
-0.4141969084739685,9.864110946655273,0.3471592366695404,-0.017044231295585632,-0.009587380103766918,-0.007456851191818714,2.021217
-0.4165911078453064,9.859322547912598,0.3758896589279175,-0.014913702383637428,-0.009587380103766918,-0.01065264455974102,2.026217
-0.43335050344467163,9.861717224121094,0.363918662071228,-0.009587380103766918,-0.008522115647792816,-0.012783173471689224,2.031223
-0.43095630407333374,9.873687744140625,0.3734954595565796,-0.003195793367922306,-0.006391586735844612,-0.014913702383637428,2.036223
